# 01-overview.sch:,,,,
# --------------------------------------------,,,,
U16,TSSOP14,OP462HRUZ-REELCT-ND,done,radiomag OP462HRUZ-REEL
,,,,
# 16-asc-fil-2of2.sch:,,,,
# --------------------------------------------,,,,
C23,SMD_SIMPLE 80 50,PCF1177CT-ND 10 uF,done,
C24,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C25,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
C26,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
RF07,SMD_SIMPLE 60 30,P13.3KHCT-ND 13.3,done,
RF08,SMD_SIMPLE 60 30,P5.23KHCT-ND 5.36k,done,
RF09,SMD_SIMPLE 60 30,P232KHCT-ND  220k,done,
RF10,SMD_SIMPLE 60 30,P2.00KHCT-ND 2k,done,
RF11,SMD_SIMPLE 60 30,P732HCT-ND    732,done,
RF12,SMD_SIMPLE 60 30,P34.8KHCT-ND  34.8k,done,
,,,,
# 17-adc.sch:,ADC done +-,,,
# --------------------------------------------,,,,
C27,SMD_SIMPLE 80 50,PCF1126CT-ND 100nF,done,
C28,SMD_SIMPLE 80 50,PCF1177CT-ND  10uF,done,
CB42,SMD_SIMPLE 60 30,490-1532-1-ND  100nF,done,
CB43,SMD_POLAR 80 50,511-1683-1-ND  10uF,done,
CB44,SMD_SIMPLE 60 30,490-1532-1-ND  100nF,done,
CB45,SMD_POLAR 80 50,511-1683-1-ND  10uF,done,
CB46,SMD_SIMPLE 60 30,490-1532-1-ND  100nF,done,
CB47,SMD_POLAR 80 50,511-1683-1-ND  10uF,done,
L05,SMD_SIMPLE 60 30,490-1037-1-ND ,done,
R39,SMD_SIMPLE 60 30,P10KDBCT-ND 10kOm,done,
R40,SMD_SIMPLE 60 30,P10KDBCT-ND 10kOm,done,
R41,SMD_SIMPLE 60 30,P49.9DBCT-ND 50Om,done,
R42,SMD_SIMPLE 60 30,P10.0KHCT-ND 10kOm,done,
U17,SOT26,ADA4841-1YRJZ-R7CT-ND,done,radiomag
U18,SOT26,AD7680ARJZ-REEL7CT-ND,done,radiomag
,,,,
# 18-dac.sch:,,,,
# --------------------------------------------,,,,
C29,SMD_SIMPLE 60 30,490-5307-1-ND,,
CB48,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB49,SMD_POLAR 80 50,511-1683-1-ND,done,
CB50,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB51,SMD_POLAR 80 50,511-1683-1-ND,done,
CB52,SMD_SIMPLE 60 30,490-5307-1-ND,done,
U19,TSSOP24_EP,AD5752RBREZ-ND,,nit
U20,SO8,ADR4520BRZ-ND,done,
,,,,
# 19-buf-shim.sch:,,,,
# --------------------------------------------,,,,
C30,SMD_SIMPLE 60 30,445-2664-1-ND,,
CB53,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB54,SMD_POLAR 80 50,511-1683-1-ND,done,
CB55,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB56,SMD_POLAR 80 50,511-1683-1-ND,done,
D06,SOT23,BAS40-04-V-GS08CT-ND,done,
LJ01,BNC_LAY,A97555-ND,,штекер
R43,SMD_SIMPLE 60 30,P0.0GCT-ND,,
R44,SMD_SIMPLE 60 30,P1.00MHCT-ND,,
R45,SMD_SIMPLE 60 30,P715DBCT-ND,,
U21,SO8,LT1206CS8#PBF-ND,done,
,,,,
# 20-buf-tx.sch:,,,,
# --------------------------------------------,,,,
CB57,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB58,SMD_POLAR 80 50,511-1683-1-ND,done,
CB59,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB60,SMD_POLAR 80 50,511-1683-1-ND,done,
D07,SOT23,BAS40-04-V-GS08CT-ND,done,
LJ02,BNC_LAY,A97555-ND,,
R46,SMD_SIMPLE 60 30,P0.0GCT-ND,,
R47,SMD_SIMPLE 60 30,P1.00MHCT-ND,,
R48,SMD_SIMPLE 60 30,P715DBCT-ND,,
U22,LT1210-DDPAK7,LT1210CR#PBF-ND,done,
,,,,
# 21-pol.sch:,,,,
# --------------------------------------------,,,,
CB61,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB62,SMD_SIMPLE 60 30,490-1532-1-ND,done,
CB63,SMD_POLAR 80 50,511-1683-1-ND,done,
D08,DO214AB,S5GC-FDICT-ND,done,
D09,DO214AB,SMDJ45ACT-ND,done,
Q01,DPAK,IRLR024NPBFCT-ND,done,
R49,SMD_SIMPLE 60 30,P10.0KHCT-ND,done,
R50,SMD_SIMPLE 60 30,P33.2HCT-ND,,
R51,SMD_SIMPLE 60 30,P1.00KHCT-ND,,
U23,SOT25,FAN3111ESXCT-ND,done,
,,,,
# 22-relay.sch:,,,,
# --------------------------------------------,,,,
D10,SOD323,SD101AWSTPMSCT-ND,done,
K01,Omron-G6A2,Z123-ND,done,
LJ03,BNC_LAY,A97555-ND,done,
Q02,SOT23,FDN327NCT-ND,done,
R52,SMD_SIMPLE 60 30,P10.0KHCT-ND,done,
,,,,
# 23-leds.sch:,,,,
# --------------------------------------------,,,,
DL1,SMD_POLAR 60 30,160-1828-1-ND,,
DL2,SMD_POLAR 60 30,160-1828-1-ND,,
DL3,SMD_POLAR 60 30,160-1828-1-ND,,
DL4,SMD_POLAR 60 30,160-1828-1-ND,,
DL5,SMD_POLAR 60 30,160-1828-1-ND,,
DL6,SMD_POLAR 60 30,160-1828-1-ND,,
DL7,SMD_POLAR 60 30,160-1828-1-ND,,
DL8,SMD_POLAR 60 30,160-1828-1-ND,,
RL1,SMD_SIMPLE 60 30,P604HCT-ND,,
RL2,SMD_SIMPLE 60 30,P604HCT-ND,,
RL3,SMD_SIMPLE 60 30,P604HCT-ND,,
RL4,SMD_SIMPLE 60 30,P604HCT-ND,,
RL5,SMD_SIMPLE 60 30,P604HCT-ND,,
RL6,SMD_SIMPLE 60 30,P604HCT-ND,,
RL7,SMD_SIMPLE 60 30,P604HCT-ND,,
RL8,SMD_SIMPLE 60 30,P604HCT-ND,,
